"datafilename","datafiledescription"
"HEPC_E","Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype"
"HEPA_E","Hepatitis A Antibody"
"HEPBD_E","Hepatitis B: Core antibody, Surface atigen, and Hepatitis D: antibody"
"HEPB_S_E","Hepatitis B Surface Antibody"
"CRP_E","C-Reactive Protein (CRP)"
"PSA_E","Prostate Specific Antigen (PSA)"
"CBC_E","Complete Blood Count with 5-part Differential - Whole Blood"
"GLU_E","Plasma Fasting Glucose & Insulin"
"GHB_E","Glycohemoglobin"
"FASTQX_E","Fasting Questionnaire"
"UCPREG_E","Pregnancy Test - Urine"
"THYROD_E","Thyroid Profile"
"FERTIN_E","Ferritin"
"TFR_E","Transferrin Receptor"
"UHM_E","Metals - Urine"
"UHG_E","Mercury: Inorganic - Urine"
"UIO_E","Iodine - Urine"
"UAS_E","Arsenics - Total & Speciated - Urine"
"PbCd_E","Cadmium, Lead, & Total Mercury - Blood"
"ALB_CR_E","Albumin & Creatinine - Urine"
"BIOPRO_E","Standard Biochemistry Profile"
"HIV_E","HIV Antibody Test"
"TCHOL_E","Cholesterol - Total"
"TRIGLY_E","Cholesterol - LDL & Triglycerides"
"OGTT_E","Oral Glucose Tolerance Test"
"HDL_E","Cholesterol - HDL"
"COTNAL_E","Cotinine - Serum & Total NNAL - Urine"
"ApoB_E","Apolipoprotein B"
"HSV_E","Herpes Simplex Virus Type-1 & Type-2"
"EPH_E","Environmental Phenols"
"PFC_E","Polyfluoroalkyl Chemicals"
"PP_E","Pesticides - Environmental - Urine"
"PHTHTE_E","Phthalates - Urine"
"HPVSWR_E","Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Roche Linear Array"
"UPP_E","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)"
"CHLMDA_E","Chlamydia & Gonorrhea - Urine"
"SSUSG_E","Urine Specific Gravity Measurement (Surplus)"
"PERNT_E","Perchlorate, Nitrate & Thiocyanate - Urine"
"FOLATE_E","Folate - RBC & Serum"
"SSEBV_E","Epstein-Barr Virus (VCA IgG) - Serum (Surplus)"
"OPD_E","Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine"
"PHYTO_E","Phytoestrogens - Urine"
"PAH_E","Polyaromatic Hydrocarbons (PAHs) - Urine"
"FOLFMS_E","Folate Forms - Individual - Serum"
"IHg_E","Mercury: Inorganic - Blood"
"BFRPOL_E","Brominated Flame Retardants (BFRs) - Pooled Samples"
"PCBPOL_E","Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples"
"PSTPOL_E","Pesticides - Organochlorine Pesticides - Pooled Samples"
"HPVSER_E","Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody – Serum: 4-plex CLIA"
"UPHOPM_E","Pyrethroids, Herbicides, & OP Metabolites - Urine"
"DOXPOL_E","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples"
"VIT_B6_E","Vitamin B6"
"CARB_E","Pesticides - Carbamates & Organophosphorus Metabolites - Urine"
"VOC_E","Volatile Organic Compounds - Water & Related Questionnaire Items"
"DEET_E","DEET and Metabolites"
"UAM_E","Atrazine and Metabolites"
"VID_E","Vitamin D"
"VOCWB_E","Volatile Organic Compounds - Blood & Related Questionnaire Items"
"VOCMWB_E","Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood"
"SSKL_E","Klotho - Serum (Surplus)"
"SSEVD_E","Enterovirus D68 (EV-D68) - Serum (Surplus)"
