"pair","dataset","dataset_label","chemical","year","gender","age_group","n","geo_mean","median","p25","p75"
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2013,"Male","<18",33,0.272391843635294,0.32,0.08,0.6
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Female","18–44",95,0.46601584664781,0.37,0.16,1.015
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Female","45–64",82,0.612287878034101,0.5,0.3,1.2375
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Female","65+",50,0.375347788609088,0.365,0.14,0.8925
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Female","<18",31,0.185079137371495,0.13,0.08,0.31
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Male","18–44",102,0.50436201793672,0.525,0.2225,1.255
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Male","45–64",61,0.648990503933407,0.63,0.24,1.35
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Male","65+",45,0.578182608692865,0.63,0.24,1.52
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2015,"Male","<18",40,0.266687413145172,0.175,0.08,0.59
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Female","18–44",374,0.489526721353543,0.445,0.18,0.9775
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Female","45–64",312,0.603184340036531,0.51,0.18,1.3325
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Female","65+",210,0.591041734719836,0.54,0.18,1.195
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Female","<18",123,0.31043895710456,0.18,0.18,0.46
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Male","18–44",340,0.44108009065789,0.35,0.18,0.815
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Male","45–64",308,0.710628580821776,0.63,0.27,1.3825
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Male","65+",214,0.558885069934751,0.52,0.18,1.1775
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2017,"Male","<18",119,0.284269939880384,0.18,0.18,0.4
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Female","18–44",123,0.224852098439661,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Female","45–64",73,0.241845049567494,0.19,0.19,0.31
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Female","65+",73,0.239511765367825,0.19,0.19,0.28
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Female","<18",42,0.195273819570605,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Male","18–44",104,0.213296377139165,0.19,0.19,0.19
