"dataset_a","label_a","dataset_b","label_b","years_both_collected","years_available","total_overlap_sum","max_single_year"
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","PYRET_EARLY","Pyrethroids, Herbicides & OP Metabolites – Urine (2007-2009)",2,"2007, 2009",5537,2819
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PYRET_EARLY","Pyrethroids, Herbicides & OP Metabolites – Urine (2007-2009)",2,"2007, 2009",5537,2819
"PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PYRET_EARLY","Pyrethroids, Herbicides & OP Metabolites – Urine (2007-2009)",2,"2007, 2009",5537,2819
"PYRET_EARLY","Pyrethroids, Herbicides & OP Metabolites – Urine (2007-2009)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2,"2007, 2009",5537,2819
"PYRET_EARLY","Pyrethroids, Herbicides & OP Metabolites – Urine (2007-2009)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2,"2007, 2009",5537,2819
"CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2,"2005, 2007",5450,2756
"OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2,"2005, 2007",5450,2756
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2,"2005, 2007",5450,2756
"PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2,"2005, 2007",5450,2756
"PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2,"2005, 2007",5450,2756
"PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",5,"2003, 2005, 2007, 2009, 2011",5413,2819
"PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",5,"2003, 2005, 2007, 2009, 2011",5413,2819
"PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2,"2005, 2007",5356,2718
"PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",3,"2003, 2005, 2007",5356,2718
"PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",3,"2003, 2005, 2007",5356,2718
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","UPHOPM","Pyrethroids, Herbicides & OP Metabolites – Urine (2011-2015, UPHOPM series)",3,"2011, 2013, 2015",5084,2505
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","UPHOPM","Pyrethroids, Herbicides & OP Metabolites – Urine (2011-2015, UPHOPM series)",3,"2011, 2013, 2015",5084,2505
"VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",6,"2007, 2009, 2011, 2013, 2015, 2017",4974,2177
"PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",5,"2003, 2005, 2007, 2009, 2011",4471,2294
"VOCWB","VOCs – Blood (full panel, all cycles)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",4,"2003, 2005, 2007, 2015",4453,2389
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2,"2007, 2015",4265,2694
"PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","VOCWB","VOCs – Blood (full panel, all cycles)",5,"2003, 2005, 2007, 2009, 2011",4165,2177
"VOCWB","VOCs – Blood (full panel, all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",5,"2003, 2005, 2007, 2009, 2011",4159,2177
"UHG","Mercury: Inorganic – Urine (all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",8,"2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017",3682,2594
"PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)",4,"2011, 2013, 2015, 2017",3639,2551
"PFAS","PFAS – Serum (2013-2017, renamed from PFC)","SSPFAS","PFAS – Surplus Serum (2013, 2017)",2,"2013, 2017",3626,1954
"SSPFAS","PFAS – Surplus Serum (2013, 2017)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2,"2013, 2017",3626,1954
"SSPFAS","PFAS – Surplus Serum (2013, 2017)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",2,"2013, 2017",3626,1954
"IHG","Mercury: Inorganic – Blood (2005 only)","VOCWB","VOCs – Blood (full panel, all cycles)",1,"2005",3545,3545
"PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]",3,"2007, 2009, 2011",3344,2177
