"datafilename","datafiledescription"
"UCFLOW_J","Urine Flow Rate"
"FASTQX_J","Fasting Questionnaire"
"GHB_J","Glycohemoglobin"
"ALB_CR_J","Albumin & Creatinine - Urine"
"UCPREG_J","Urine Pregnancy Test"
"HIV_J","HIV Antibody Test"
"HEPA_J","Hepatitis A"
"HEPB_S_J","Hepatitis B: Surface Antibody"
"HEPBD_J","Hepatitis B: Core antibody, Surface antigen, and Hepatitis D: antibody"
"HEPC_J","Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype"
"HEPE_J","Hepatitis E: IgG & IgM Antibodies"
"CBC_J","Complete Blood Count with 5-Part Differential"
"HSCRP_J","High-Sensitivity C-Reactive Protein"
"TCHOL_J","Cholesterol - Total"
"HDL_J","Cholesterol - High - Density Lipoprotein (HDL)"
"BIOPRO_J","Standard Biochemistry Profile"
"FETIB_J","Iron Status - Serum"
"PBCD_J","Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood"
"CRCO_J","Chromium & Cobalt"
"IHGEM_J","Mercury: Inorganic, Ethyl and Methyl - Blood"
"CMV_J","Cytomegalovirus IgG & IgM Antibodies - Serum"
"GLU_J","Plasma Fasting Glucose"
"COT_J","Cotinine and Hydroxycotinine - Serum"
"INS_J","Insulin"
"FERTIN_J","Ferritin"
"VIC_J","Vitamin C"
"TRIGLY_J","Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides"
"FOLATE_J","Folate - RBC"
"FOLFMS_J","Folate Forms - Total & Individual - Serum"
"UAS_J","Arsenics - Speciated - Urine"
"UTAS_J","Arsenic - Total - Urine"
"UM_J","Metals - Urine"
"UCM_J","Chromium - Urine"
"UHG_J","Mercury: Inorganic - Urine"
"UNI_J","Nickel - Urine"
"UIO_J","Iodine - Urine"
"VOCWB_J","Volatile Organic Compounds and Trihalomethanes/MTBE - Blood"
"PFAS_J","Perfluoroalkyl and Polyfluoroalkyl Substances"
"PHTHTE_J","Phthalates and Plasticizers Metabolites - Urine"
"SSPFAS_J","Perfluoroalkyl and Polyfluoroalkyl Substances (Surplus)"
"TFR_J","Transferrin Receptor"
"VITAEC_J","Vitamin A, Vitamin E & Carotenoids"
"OPD_J","Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine"
"FR_J","Flame Retardants - Urine"
"UCOT_J","Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine"
"VID_J","Vitamin D"
"PERNT_J","Perchlorate, Nitrate & Thiocyanate - Urine"
"UVOC_J","Volatile Organic Compound (VOC) Metabolites - Urine"
"SSUVOC_J","Volatile Organic Compound (VOC) Metabolites II - Urine (Surplus)"
"ETHOX_J","Ethylene Oxide"
"SSFR_J","Flame Retardants - Urine (Surplus)"
"SSGLYP_J","Glyphosate (GLYP) - Urine (Surplus)"
"SSAGP_J","Alpha-1-Acid Glycoprotein - Serum (Surplus)"
"UPHOPM_J","Pyrethroids, Herbicides, & Organophosphorus Metabolites – Urine"
"SSTST_J","Sex Steroid Hormone Panel - Serum (Surplus)"
"SSEVD_J","Enterovirus D68 (EV-D68) - Serum (Surplus)"
"SSNEON_J","Neonicotinoids - Urine (Surplus)"
"SSUVCM_J","Volatile Organic Compound (VOC) Metabolites: Benzene and Methylating Agent Biomarkers – Urine (Surplus)"
"PAH_J","Polycyclic Aromatic Hydrocarbons (PAH) - Urine"
