"datafilename","datafiledescription"
"UCPREG_I","Pregnancy Test - Urine"
"FLDEW_I","Fluoride - Water"
"FLDEP_I","Fluoride - Plasma"
"UCFLOW_I","Urine Flow Rate"
"HSV_I","Herpes Simplex Virus Type-1 & Type-2"
"CHLMDA_I","Chlamydia - Urine"
"TRICH_I","Trichomonas - Urine"
"GHB_I","Glycohemoglobin"
"CBC_I","Complete Blood Count with 5-Part Differential - Whole Blood"
"ALB_CR_I","Albumin & Creatinine - Urine"
"FASTQX_I","Fasting Questionnaire"
"HEPA_I","Hepatitis A"
"HEPB_S_I","Hepatitis B: Surface Antibody"
"HEPBD_I","Hepatitis B: Core antibody, Surface antigen, and Hepatitis D: antibody"
"HEPE_I","Hepatitis E: IgG & IgM Antibodies"
"BIOPRO_I","Standard Biochemistry Profile"
"HDL_I","Cholesterol - High-Density Lipoprotein (HDL)"
"TCHOL_I","Cholesterol - Total"
"HEPC_I","Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype"
"HSCRP_I","High-Sensitivity C-Reactive Protein (hs-CRP)"
"CRCO_I","Chromium & Cobalt"
"HIV_I","HIV Antibody Test"
"UMS_I","Metals - Urine - Special Sample"
"UTASS_I","Arsenic - Total - Urine - Special Sample"
"UASS_I","Speciated Arsenics - Urine - Special Sample"
"IHGEM_I","Mercury: Inorganic, Ethyl and Methyl - Blood"
"PBCD_I","Lead, Cadmium, Total Mercury, Selenium & Manganese - Blood"
"GLU_I","Plasma Fasting Glucose"
"INS_I","Insulin"
"OGTT_I","Oral Glucose Tolerance Test"
"ORHPV_I","Human Papillomavirus (HPV) - Oral Rinse"
"SSMHHT_I","Mono-2-ethyl-5-hydroxyhexyl terephthalate, mono-2-ethyl-5-carboxypentyl terephthalate, and monooxoisononyl phthalate - Urine (Su"
"CUSEZN_I","Copper, Selenium & Zinc - Serum"
"UAS_I","Speciated Arsenics - Urine"
"UTAS_I","Arsenic - Total - Urine"
"UM_I","Metals - Urine"
"UIO_I","Iodine - Urine"
"UHG_I","Mercury: Inorganic - Urine"
"VOCWB_I","Volatile Organic Compounds and Trihalomethanes/MTBE - Blood"
"VOCWBS_I","Volatile Organic Compounds and Trihalomethanes/MTBE – Blood – Special Sample"
"PHTHTE_I","Phthalates and Plasticizers Metabolites - Urine"
"UVOC_I","Volatile Organic Compound (VOC) Metabolites - Urine"
"UVOCS_I","Volatile Organic Compound (VOC) Metabolites - Urine - Special Sample"
"PFAS_I","Perfluoroalkyl and Polyfluoroalkyl"
"TRIGLY_I","Cholesterol - Low - Density Lipoprotein (LDL) & Triglycerides"
"TST_I","Sex Steroid Hormone - Serum"
"EPHPP_I","Personal Care and Consumer Product Chemicals and Metabolites"
"UADM_I","Aromatic Diamines - Urine"
"HPVSWC_I","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas High-Risk"
"HPVSWR_I","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array"
"FOLFMS_I","Folate Forms - Total & Individual - Serum"
"FOLATE_I","Folate - RBC"
"SSNEON_I","Neonicotinoids - Urine - Surplus"
"APOB_I","Apolipoprotein B"
"FERTIN_I","Ferritin"
"TFR_I","Transferrin Receptor"
"SSDEET_I","DEET Metabolites - Urine - Surplus"
"COT_I","Cotinine and Hydroxycotinine - Serum"
"UCOT_I","Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine"
"UCOTS_I","Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine - Special Sample"
"DEET_I","DEET Metabolite - Urine"
"PCBPOL_I","Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples"
"PSTPOL_I","Pesticides - Organochlorine Pesticides - Pooled Samples"
"BFRPOL_I","Brominated Flame Retardants (BFRs) - Pooled Samples"
"HPVP_I","Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array"
"POOLTF_I","Pooled-Sample Technical Support File"
"PERNT_I","Perchlorate, Nitrate & Thiocyanate - Urine"
"PERNTS_I","Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample"
"AMDGYD_I","Acrylamide & Glycidamide"
"ETHOX_I","Ethylene Oxide"
"FORMAL_I","Formaldehyde"
"SSPT_I","Pertussis and tetanus – Serum (Surplus)"
"SSCT_I","Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results"
"SSFR_I","Flame Retardants - Urine (Surplus)"
"PAH_I","Polycyclic Aromatic Hydrocarbons (PAH) - Urine"
"PAHS_I","Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample"
"OPD_I","Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine"
"VID_I","Vitamin D"
"SSKL_I","Klotho - Serum (Surplus)"
"SSAGP_I","Alpha-1-Acid Glycoprotein - Serum (Surplus)"
"UFLDE_I","Fluoride - Urine"
"SSCLTY_I","Chlorinated Tyrosine – Serum (Surplus)"
"SSGLYP_I","Glyphosate (GLYP) - Urine (Surplus)"
"UPHOPM_I","Pyrethroids, Herbicides, & Organophosphorus Metabolites - Urine"
"DOXPOL_I","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples"
"SSEVD_I","Enterovirus D68 (EV-D68) - Serum (Surplus)"
