"datafilename","datafiledescription"
"TCHOL_G","Cholesterol - Total"
"UHM_G","Metals - Urine"
"HEPA_G","Hepatitis A Antibody"
"HIV_G","HIV Antibody Test"
"HSV_G","Herpes Simplex Virus Type-1 & Type-2"
"PbCd_G","Cadmium, Lead, Total Mercury, Selenium, & Manganese - Blood"
"ALB_CR_G","Albumin & Creatinine - Urine"
"BIOPRO_G","Standard Biochemistry Profile"
"IHgEM_G","Mercury: Inorganic, Ethyl and Methyl - Blood"
"CBC_G","Complete Blood Count with 5-part Differential - Whole Blood"
"TGEMA_G","Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA)"
"ORHPV_G","Human Papillomavirus (HPV) - Oral Rinse"
"COTNAL_G","Cotinine - Serum & Total NNAL - Urine"
"UAS_G","Arsenics - Total & Speciated - Urine"
"UHG_G","Mercury: Inorganic - Urine"
"TB_G","Tuberculosis - Quantiferon_In_Gold"
"HEPB_S_G","Hepatitis B Surface Antibody"
"HEPBD_G","Hepatitis B: Core antibody, Surface antigen, and Hepatitis D: antibody"
"HEPC_G","Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype"
"HEPE_G","Hepatitis E : IgG & IgM Antibodies"
"PHTHTE_G","Phthalates & Plasticizers Metabolites - Urine"
"PP_G","Pesticides - Environmental - Urine"
"THYROD_G","Thyroid Profile"
"UCFLOW_G","Urine Flow Rate"
"UCOSMO_G","Osmolality - Urine"
"UCPREG_G","Pregnancy Test - Urine"
"CUSEZN_G","Copper, Selenium & Zinc - Serum"
"FOLATE_G","Folate - RBC"
"MMA_G","Methylmalonic Acid"
"VITB12_G","Vitamin B12"
"CMV_G","Cytomegalovirus IgG & IgM Antibodies - Serum"
"UHMS_G","Metals - Urine - Special Sample"
"UASS_G","Arsenics - Total & Speciated - Urine - Special Sample"
"HDL_G","Cholesterol - HDL"
"TST_G","Total Testosterone"
"GHB_G","Glycohemoglobin"
"UIO_G","Iodine - Urine"
"FASTQX_G","Fasting Questionnaire"
"CHLMDA_G","Chlamydia - Urine"
"PERNTS_G","Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample"
"UVOC_G","Volatile Organic Compound (VOC) Metabolites - Urine"
"UVOCS_G","Volatile Organic Compound (VOC) Metabolites - Urine - Special Sample"
"EPH_G","Environmental Phenols & Parabens"
"PERNT_G","Perchlorate, Nitrate & Thiocyanate - Urine"
"GLU_G","Plasma Fasting Glucose & Insulin"
"OGTT_G","Oral Glucose Tolerance Test"
"ApoB_G","Apolipoprotein B"
"TRIGLY_G","Cholesterol - LDL & Triglycerides"
"PFC_G","Polyfluoroalkyl Chemicals"
"PAH_G","Polyaromatic Hydrocarbons (PAHs) - Urine"
"PAHS_G","Polyaromatic Hydrocarbons (PAHs)- Urine - Special Sample"
"HPVSWR_G","Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Roche Linear Array"
"SSTOXO_G","Toxoplasma gondii Antibody - Serum (Surplus)"
"SSTOCA_G","Antibody to Toxocara spp. (Surplus)"
"VOCWB_G","Volatile Organic Compounds (VOCs) - Blood"
"DEET_G","DEET and Metabolites"
"VID_G","Vitamin D"
"VOCMWB_G","Volatile Organic Compounds (VOCs) - Trihalomethanes/MTBE/Nitromethane - Blood"
"PCBPOL_G","Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples"
"POOLTF_G","Pooled-Sample Technical Support File"
"PSTPOL_G","Pesticides - Organochlorine Pesticides - Pooled Samples"
"BFRPOL_G","Brominated Flame Retardants (BFRs) - Pooled Samples"
"FOLFMS_G","Folate Forms - Total & Individual - Serum"
"FAS_G","Fatty Acids - Serum"
"CAFE_G","Caffeine & Caffeine Metabolites - Urine"
"SSANA2_G","Autoantibodies - Immunofluorescence Analyses (Surplus)"
"SSFR_G","Flame Retardants - Urine  (Surplus)"
"UPHOPM_G","Pyrethroids, Herbicides, & Organophosphorus Metabolites - Urine"
"OPD_G","Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine"
"SSDFS_G","Autoantibodies - Anti-DFS70 Autoantibody Analyses (Surplus)"
"SSKL_G","Klotho - Serum (Surplus)"
"DOXPOL_G","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples"
"SSEVD_G","Enterovirus D68 (EV-D68) - Serum (Surplus)"
