"datafilename","datafiledescription"
"L24PP_C","Pesticides - Environmental - Urine"
"L26UPP_C","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)"
"L06PHY_C","Phytoestrogens - Urine"
"L06VIT_C","Vitamin C"
"SSCHL_C","Sex Steroid Hormone - Men (Surplus)"
"SSMEL_C","Melamine - Urine (Surplus)"
"l13_c","Cholesterol - Total & HDL"
"l09_c","Herpes Simplex Virus Type-1 & Type-2"
"L02_C","Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody"
"L02HBS_C","Hepatitis B Surface Antibody"
"L02HPA_C","Hepatitis A Antibody"
"L03_C","HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells"
"L04PER_C","Perchlorate - Urine"
"L04VOC_C","Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items"
"L05_C","Chlamydia & Gonorrhea - Urine"
"L06AGE_C","Acrylamide & Glycidamide"
"L06BMT_C","Cadmium, Lead, & Total Mercury - Blood"
"L06MH_C","Methylmalonic acid & Homocysteine"
"L06NB_C","Folate - RBC & Serum, and Vitamin B12"
"L06COT_C","Cotinine - Serum"
"L06TFR_C","Ferritin & Transferrin Receptor"
"L06HM_C","Metals - Urine"
"L06UIO_C","Iodine - Urine"
"L06UAS_C","Arsenics - Total & Speciated - Urine"
"L06UHG_C","Mercury: Inorganic - Urine"
"L10_C","Glycohemoglobin"
"L10AM_C","Plasma Fasting Glucose, Serum C-peptide & Insulin"
"L11_C","C-Reactive Protein (CRP), Bone Alkaline Phosphatase (BAP) & Parathyroid Hormone (PTH)"
"L11PSA_C","Prostate Specific Antigen (PSA)"
"L13AM_C","Cholesterol - LDL & Triglycerides"
"L16_C","Albumin & Creatinine - Urine"
"L17_C","Toxoplasma (IgG) & Toxoplasma (IgM)"
"L19_C","Measles, Rubella, & Varicella"
"L20_C","Lead - Dust"
"L24EPH_C","Environmental Phenols"
"L24PFC_C","Polyfluoroalkyl Chemicals"
"L24PH_C","Phthalates - Urine"
"L25_C","Complete Blood Count with 5-part Differential - Whole Blood"
"L26OPD_C","Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine"
"L28DFP_C","Dioxins, Furans, & Coplanar PCBs"
"L28NPB_C","Non-dioxin-like Polychlorinated Biphenyls"
"L28OCP_C","Pesticides - Organochlorine Metabolites - Serum (Surplus)"
"L28PBE_C","Brominated Flame Retardants (BFRs)"
"L31PAH_C","Polyaromatic Hydrocarbons (PAHs) - Urine"
"L35_C","Methicillin - Resistant Staphylococcus aureus (MRSA)"
"L36_C","Syphilis-IgG, Syphilis Rapid Plasma Reagin (RPR) & Treponema pallidum Particle Agglutination (TP-PA)"
"L39EPP_C","Erythrocyte Protoporphyrin & Selenium"
"L40_C","Standard Biochemistry Profile"
"L40FE_C","Iron, Total Iron Binding Capacity (TIBC), & Transferrin Saturation"
"L43_C","Vitamin B6"
"L45VIT_C","Vitamin A, Vitamin E & Carotenoids"
"L52SER_C","Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum: 4-plex CLIA"
"PH_C","Fasting Questionnaire"
"UC_C","Pregnancy Test - Urine"
"SSQFEV_C","Coxiella Burnetii (Q Fever) Antibodies - Serum (Surplus)"
"SSMUMP_C","Mumps Antibody - Serum (Surplus)"
"SSVARI_C","Varicella-Zoster Virus Antibody (Surplus)"
"l34_c","Bacterial vaginosis (BV) & Trichomonas vaginalis"
"L37SWA_C","Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Prototype Line Blot Assay"
"L37SWR_C","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array"
"L06VID_C","Vitamin D"
"SSFA_C","Fatty Acids - Plasma (Surplus)"
"SSEBV_C","Epstein-Barr Virus (VCA IgG) - Serum (Surplus)"
"SSHCVR_C","Hepatitis C RNA (HCV-RNA) & HCV Genotype (Surplus)"
"SSOL_C","Monoclonal gammopathy of undetermined significance (MGUS) (Surplus)"
"VID_C","Vitamin D"
"SSAMH_C","Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)"
"SSNORO_C","Norovirus antibody - Serum"
"SSCMV_C","Cytomegalovirus Antibodies - Serum (Surplus)"
"SSEVD_C","Enterovirus D68 (EV-D68) - Serum (Surplus)"
